a_id,a_name,a_country,a_city,a_prov,a_web
5461,faculty president venceslau,brazil,presidente venceslau,Sao Paulo,http://www.faculdadefaprev.edu.br
5463,faculty rehabilitation asce,brazil,rio de janeiro,Rio de Janeiro,http://www.frasce.edu.br
5464,faculty realaza,brazil,realaza,PR,http://www.cesreal.br
5466,faculty rondonia,brazil,porto velho,Rondonia,http://www.faro.edu.br
5468,faculty sabara,brazil,sabara,Minas Gerais,http://www.faculdadedesabara.edu.br
5469,faculty saint catherine,brazil,sao jose,SC,http://www.fasc.edu.br
5471,faculty sao bento,brazil,sao paulo,SP,http://www.saobento.org.br
5472,faculty saint benedict rio de janeiro,brazil,rio de janeiro,RJ,http://www.faculdadesaobento.org.br
5473,faculty sao bernardo do campo,brazil,sao bernardo do campos,Sao Paulo,http://www.facsaobernardo.com.br
5479,faculty selviria,brazil,selviria,MS,
5485,cdl faculty,brazil,fortaleza,Ceara,http://www.faculdadecdl.edu.br
5488,centec faculty technology cariri,brazil,juazeiro do norte,Ceara,http://www.centec.org.br
5489,centec faculty technology sertao central,brazil,quixeramobim,Ceara,http://www.centec.org.br
5491,cetep faculty technology,brazil,curitiba,PR,http://www.cetepensino.com.br
5495,faculty technology alagoas,brazil,maceio,AL,http://www.fat-al.edu.br
5496,faculty technology americana,brazil,americana,Sao Paulo,http://www.fatec.br
5498,faculty technology guaratingueta,brazil,guaratingueta,SP,http://www.fatecguaratingueta.edu.br
5505,faculty technology ourinhos,brazil,ourinhos,Sao Paulo,http://www.centropaulasouza.sp.gov.br/Fatec/Escolas/Ourinhos.html
5509,faculty technology praia grande,brazil,praia grande,SP,http://www.fatecpg.com.br
5511,faculty technology sao jose do rio preto,brazil,sao jose do rio preto,SP,http://www.fatecriopreto.edu.br
5512,faculty technology sao paulo,brazil,sao paulo,Sao Paulo,http://www.fatecsp.br
5533,fama faculty technology,brazil,recife,PE,http://www.escolademarketing.com.br
5539,inforium faculty technology,brazil,belo horizonte,MG,http://www.faculdadepromove.br/bh
5543,ipuniversity faculty technology,brazil,canoas,RD,http://www.ipuc.com.br
5547,pedro rogerio garcia faculty technology,brazil,concordia,SC,http://www.fattep.com.br
5555,senac faculty technology blumenau,brazil,blumenau,SC,http://portal.sc.senac.br/portal/WebForms/unidade.aspx?secao_id=60
5557,senac faculty technology chapeco,brazil,chapeco,SC,http://portal.sc.senac.br/portal/WebForms/unidade.aspx?secao_id=64
5558,senac faculty technology federal district,brazil,brasilia,DF,http://www.facsenac.edu.br
5560,senac faculty technology florianopolis,brazil,florianopolis,SC,http://www.sc.senac.br/open.php?outros=home&opc=009
5561,senac faculty technology goias,brazil,goiania,GO,http://www.go.senac.br/faculdade/index.php
5562,senac faculty technology jaragua do sul,brazil,jaragua do sul,SC,http://www.sc.senac.br/open.php?outros=home&opc=020
5564,senac faculty technology pelotas,brazil,pelotas,RS,http://portal.senacrs.com.br/unidades.asp?unidade=78
5565,senac faculty technology rio de janeiro,brazil,rio de janeiro,Rio de Janeiro,http://www.rj.senac.br/unidades/faculdade-tecnologia-senac-rio
5567,senac faculty technology tubarao,brazil,tubarao,SC,http://portal.sc.senac.br/portal/WebForms/unidade.aspx?secao_id=81
5568,senai faculty technology anchieta,brazil,sao paulo,SP,http://eletronica.sp.senai.br
5569,senai faculty technology blumenau,brazil,blumenau,SC,http://www.sc.senai.br
5570,senai cetind faculty technology,brazil,lauro de freitas,BA,http://portais.fieb.org.br/portal_faculdades/faculdade-cetind/apresentacao-cetind.html
5571,senai faculty technology chapeco,brazil,chapeco,SC,http://sc.senai.br/cursos-senai/faculdade/chapeco
5572,senai cimatec faculty technology,brazil,salvador,BA,http://portais.fieb.org.br/portal_faculdades/faculdade-cimatec/apresentacao-cimatec.html
5573,senai faculty technology management development,brazil,goiania,GO,http://www.senaigo.com.br
5574,senai faculty technology porto alegre,brazil,porto alegre,RS,http://www.senairs.com.br/faculdade
5575,senai faculty technology florianopolis,brazil,florianopolis,Santa Catarina,http://www.sc.senai.br
5576,senai faculty technology joinville,brazil,joinville,Santa Catarina,http://www.sc.senai.br/siteinstitucional/servicos/unidade/index/cidade/16/pgcursoaberto/2/
5583,faculty integrated ology,brazil,recife,PE,http://www.fatin.com.br
5585,faculty sciences timbauba,brazil,timbauba,PE,http://www.faculdadedetimbauba.edu.br
5586,faculty tupi paulista,brazil,tupi paulista,SP,http://tupipaulista.reges.com.br
5588,universityion schools paraiso faculty vinhedo,brazil,vinhedo,Sao Paulo,http://www.fv.edu.br
5589,faculty vitoria,brazil,vitoria,Espirito Santo,
5594,diocesan faculty sao jose,brazil,rio branco,AC,http://fadisi.webs.com
5599,faculty centro leste,brazil,serra,ES,http://www.ucl.br
5601,faculty nautical club mogi das cruzes,brazil,mogi das cruzes,Sao Paulo,http://www.nautico.edu.br
5603,faculty guaruja,brazil,guaruja,Sao Paulo,http://www.faculdadedoguaruja.edu.br/index.asp
5606,faculty interior state sao paulo,brazil,barra bonita,Sao Paulo,http://www.funbbe.br/v2/fip
5612,faculty norte novo region apucarana,brazil,apucarana,PR,http://www.facnopar.com.br
5615,faculty people,brazil,sao paulo,SP,http://www.fapsp.com.br
5618,faculty south bahia,brazil,teixeira de freitas,BA,http://www.ffassis.edu.br
5620,faculty second july,brazil,salvador,Bahia,http://f2j.edu.br
5622,don domenico faculty,brazil,guaruja,Sao Paulo,http://www.faculdadedondomenico.edu.br
5623,dr. francisco maeda faculty,brazil,ituverava,Sao Paulo,http://www.feituverava.com.br/fafram
5624,dr. leocadio jose correia faculty,brazil,curitiba,Parana,http://www.falec.br
5625,carlos drummond de andrade faculty,brazil,sao paulo,Sao Paulo,http://www.drummond.com.br
5632,eduvale faculty avare,brazil,avare,SP,http://www.eduvaleavare.com.br
5635,equipe faculty,brazil,sapucaia do sul,RS,http://www.faculdadesequipe.com.br
5638,faculty espirito santo universityicape,brazil,cariacica,Espirito Santo,http://unicape.faesa.br
5649,euclid faculty cunha,brazil,sao jose do rio pardo,SP,http://www.feucriopardo.edu.br
5654,evangelical faculty goianesia,brazil,goianesia,GO,http://www.evangelicagoianesia.edu.br
5655,evangelical faculty salvador,brazil,salvador,BA,
5656,evangelical faculty mid north region,brazil,coroata,MA,http://www.faeme.com.br
5657,evangelical faculty parana,brazil,curitiba,Parana,http://www.fepar.edu.br
5658,evangelical faculty piaui,brazil,teresina,PI,http://www.faepi.com.br/novo
5671,our lady fatima faculty fatima faculty,brazil,caxias do sul,RS,http://fatimaeducacao.com.br
5678,frassinetti faculty recife,brazil,recife,Pernambuco,http://www.fafire.br
5680,gama souza faculty,brazil,rio de janeiro,Rio de Janeiro,http://www.gamaesouza.edu.br
5682,geremario dantas faculty,brazil,rio de janeiro,RJ,http://www.fgd.edu.br
5692,horizontina faculty,brazil,horizontina,RS,http://www.fahor.com.br
5695,idc faculty,brazil,porto alegre,RS,https://www.idc.edu.br
5708,inga faculty,brazil,maringa,Parana,http://faculdadeinga.com.br
5709,integration faculty western zone,brazil,osasco,Sao Paulo,
5714,integrated faculty araguatins,brazil,araguatins,TO,http://www.faiara.com.br
5715,universityion schools paraiso integrated faculty higher education colinas,brazil,colinas do tocantins,TO,http://www.uniesp.edu.br/fiesc
5717,integrated faculty brazil,brazil,teresina,PI,http://faibra.edu.br/v2
5724,faculty american interaction,brazil,sao bernardo do campo,Sao Paulo,http://www.fainam.edu.br
5727,intermunicipal faculty northwest parana,brazil,loanda,PR,http://www.facinor.br
5730,international faculty delta,brazil,parnaiba,PI,http://www.intafid.com.br/
5731,intesp faculty,brazil,ipaussu,Sao Paulo,http://www.intesp.edu.br
5732,ipiranga integrated faculties,brazil,belem,PA,http://www.faculdadeipiranga.com.br
5739,faculty jau,brazil,jau,SP,http://www.faculdadejauense.edu.br
5740,jesuit faculty philosophy ology,brazil,belo horizonte,Minas Gerais,http://www.faculdadejesuita.edu.br
5743,joao calvino faculty,brazil,barreiras,BA,http://fjc-unirb.com.br
5744,john paul ii faculty,brazil,marilia,SP,http://www.fajopa.edu.br
5747,jose augusto vieira faculty,brazil,lagarto,SE,http://www.unidom.com.br
5748,jose lacerda jr faculty applied sciences,brazil,ipojuca,PE,http://www.fajolca.edu.br
5751,kurios faculty,brazil,maranguape,Ceara,http://www.fak.edu.br
5753,latin american faculty education,brazil,fortaleza,Ceara,http://www.flated.edu.br
5754,lions faculty,brazil,goiania,GO,http://www.faclions.org
5756,lourenco filho faculty,brazil,fortaleza,Ceara,http://www.flf.edu.br
5758,luciano feijao faculty,brazil,sobral,Ceara,http://www.flucianofeijao.com.br
5759,portuguese brazilian faculty,brazil,carpina,PE,http://www.falub.edu.br
5760,rui barbosa lutheran faculty,brazil,marechal candido rondon,PR,http://www.falurb.edu.br
5761,machado de assis faculty,brazil,rio de janeiro,Rio de Janeiro,http://www.famanet.br
5762,machado sobrinho faculty,brazil,juiz de fora,Minas Gerais,http://www.machadosobrinho.com.br
5768,marshal rondon faculty,brazil,sao manuel,Sao Paulo,http://www.fmr.edu.br
5770,faculty maringa,brazil,maringa,Parana,http://www.faculdadesmaringa.br
5779,mercurio faculty,brazil,rio de janeiro,RJ,http://www.famerc.com.br
5784,methodist faculty santa maria,brazil,santa maria,Rio Grande do Sul,http://www.metodistadosul.edu.br/fames/capa/apresentacao.php
5785,holy spirit methodist faculty,brazil,vila velha,Espirito Santo,http://www.metodistaes.edu.br
5786,granbery methodist faculty,brazil,juiz de fora,Minas Gerais,http://www.granbery.edu.br
5792,metropolitan faculty amazon,brazil,belem,PA,http://www.famaz.edu.br
5794,metropolitan faculty caieiras,brazil,caieiras,SP,http://www.fmccaieiras.edu.br
5795,metropolitan faculty camacari,brazil,camacari,BA,http://www.famec.edu.br
5803,michaelangelo faculty,brazil,brasilia,DF,http://www.jk.edu.br
5808,monteiro lobato faculty,brazil,porto alegre,RS,http://www.monteirolobato.edu.br
5811,montessori faculty salvador,brazil,salvador,BA,http://www.montessoriano.com.br/faculdade
5812,moraes junior mackenzie rio faculty,brazil,rio de janeiro,Rio de Janeiro,http://www.mackenzie-rio.edu.br
5814,mozarteum faculty sao paulo,brazil,sao paulo,Sao Paulo,http://www.mozarteum.br
5816,faculty mundial foundation,brazil,sao paulo,SP,http://www.faculdademundial.com.br
5817,municipal faculty palhoca,brazil,palhoca,,http://www.fmpsc.edu.br
5818,professor franco montoro municipal faculty mogi guacu,brazil,mogi guacu,Sao Paulo,http://www.fmpfm.edu.br
5822,university centre rio grande do norte,brazil,natal,Rio Grande do Norte,http://www.farn.br
5823,nazarene faculty brazil,brazil,campinas,SP,http://www.fnb.edu.br
5828,our lady aparecida faculty,brazil,aparecida de goiania,Goias,http://www.fanap.br
5830,universityinovafapi university centre,brazil,teresina,Piaui,http://www.novafapi.com.br
5831,faculty novo hamburgo ienh faculty,brazil,novo hamburgo,RS,http://www.ienh.com.br
5837,origenes lessa faculty,brazil,lencois paulista,SP,http://www.facol.br
5838,writer osman da costa lins faculty,brazil,vitoria,PE,http://www.facol.net
5844,palotina faculty,brazil,santa maria,RS,http://www.fapas.edu.br
5845,pan american faculty,brazil,capanema,,http://www.fpa.edu.br
5846,panamerican faculty ji parana,brazil,ji parana,RO,http://www.unijipa.edu.br
5849,faculty development south east state tocantins,brazil,dianopolis,TO,
5851,faculty parana,brazil,rolandia,PR,http://www.faccar.com.br
5853,paschoal dantas faculty,brazil,sao paulo,SP,http://www.faculdadepaschoaldantas.com.br
5854,faculty arts sao paulo,brazil,sao paulo,Sao Paulo,http://www.fpa.art.br
5858,faculty social services sao paulo,brazil,sao paulo,Sao Paulo,http://www.fapss.br
5859,faculty social services sao caetano do sul,brazil,sao caetano do sul,Sao Paulo,http://fapss.net
5860,paulus faculty technology communication,brazil,sao paulo,SP,http://www.fapcom.com.br
5865,phoenix faculty human social sciences brazil,brazil,santo antonio do descoberto,GO,
5869,pinheiro guimaraes faculty,brazil,rio de janeiro,Rio de Janeiro,http://www.faculdadepinheiroguimaraes.edu.br
5871,pius xii faculty,brazil,cariacica,ES,http://www.faculdade.pioxii-es.com.br
5888,polytechnic faculty campinas,brazil,campinas,SP,http://www.policamp.edu.br
5896,gammon presbyterian faculty,brazil,lavras,Minas Gerais,http://www.fagammon.edu.br
5899,processus faculty,brazil,brasilia,DF,http://www.institutoprocessus.com.br
5900,professor miguel angelo da silva santos faculty,brazil,macae,RJ,http://www.macae.rj.gov.br/femass
5906,raimundo marinho faculty,brazil,maceio,AL,http://www.frm.edu.br
5907,raizes faculty,brazil,anapolis,GO,http://www.faculdaderaizes.com.br/
5909,redentor faculty,brazil,itaperuna,RJ,http://www.redentor.edu.br/
5915,regional faculty serrana,brazil,venda nova do imigrante,ES,
5918,rio sono faculty,brazil,pedro afonso,TO,http://www.faculdaderiosono.edu.br
5922,salesian faculty pindamonhangaba,brazil,pindamonhangaba,SP,
5923,salesian faculty santa teresa,brazil,corumba,MS,http://www.fsst.com.br
5925,salesian faculty north east,brazil,recife,Pernambuco,http://www.fasne.edu.br
5926,dom bosco salesian faculty,brazil,manaus,AM,http://www.fsdb.edu.br
5927,dom bosco salesian faculty piracicaba,brazil,piracicaba,SP,www.domboscopira.com.br
5928,mary auxiliary salesian faculty,brazil,macae,Rio de Janeiro,http://www.salesiana.edu.br
5929,saint catherine faculty,brazil,recife,PE,http://www.faculdadesantacatarina.com.br
5930,saint cecilia faculty,brazil,pindamonhangaba,SP,http://www.fascpinda.com.br
5935,saint helena faculty,brazil,recife,Pernambuco,http://www.fsh.edu.br
5937,saint lucy faculty,brazil,mogi mirim,SP,http://www.santalucia.br
5938,saint marcelina faculty,brazil,sao paulo,Sao Paulo,http://www.fasm.edu.br
5943,saint rita cassia faculty economics administrative sciences,brazil,sao paulo,Sao Paulo,http://www.santarita.br
5946,santa terezinha faculty,brazil,sao luis,Maranhao,http://www.cest.edu.br
5948,blessed sacrament faculty,brazil,alagoinhas,BA,http://www.fsssacramento.br
5954,saint anna university centre,brazil,salto,SP,http://www.unisantanna.br
5955,saint benedict faculty bahia,brazil,salvador,BA,http://www.saobento.org/Faculdade
5956,saint camilo faculty belo horizonte,brazil,belo horizonte,MG,http://www.saocamilo-mg.br
5957,saint camilo faculty bahia,brazil,salvador,Bahia,http://www.saocamilo-ba.br
5960,saint francis assisi faculty,brazil,porto alegre,RS,http://www.unifin.com.br
5962,saint francis faculty barreiras,brazil,barreiras,BA,http://www.fasb.edu.br
5963,saint francis faculty juazeiro,brazil,juazeiro,BA,http://www.fasj.edu.br
5967,saint jude thaddeus faculty,brazil,rio de janeiro,Rio de Janeiro,http://www.sjt.com.br
5971,faculty sao luis,brazil,sao luis,MA,
5973,saint louis faculty,brazil,brusque,SC,http://www.faculdadesaoluiz.edu.br/
5982,saint vincent faculty,brazil,pao de acucar,AL,http://www.fasvipa.com.br
5983,satc faculty,brazil,criciuma,SC,http://www.portalsatc.com
5985,estacio faculty macapa,brazil,macapa,Amapa,http://portal.estacio.br/unidades/faculdade-estacio-de-macapa.aspx
5986,senac minas faculty,brazil,contagem,MG,http://www.mg.senac.br/faculdade
5987,senac pernambuco faculty,brazil,recife,PE,http://www.faculdadesenacpe.edu.br/
5988,senac rs faculty porto alegre,brazil,porto alegre,RS,http://www.senacrs.com.br
5990,senai faculty environmental technology,brazil,sao bernardo do campo,SP,http://www.sp.senai.br/meioambiente
5991,senai faculty graphic technology,brazil,sao paulo,Sao Paulo,http://www.sp.senai.br
5992,senai faculty mechatronic technology,brazil,sao caetano do sul,Sao Paulo,http://www.sp.senai.br
5993,senai cetiqt faculty,brazil,rio de janeiro,Rio de Janeiro,http://www.cetiqt.senai.br
6000,faculty management sete lagoas,brazil,sete lagoas,MG,
6001,silva souza integrated faculties,brazil,rio de janeiro,Rio de Janeiro,
6004,social faculty bahia,brazil,salvador,BA,http://www.fsba.edu.br
6005,sogipa faculty physical education,brazil,porto alegre,RS,http://www.faculdadesogipa.edu.br/
6008,universityion schools paraiso faculty south west sao paulo,brazil,sao paulo,SP,http://www.uniesp.edu.br/fasup/faculdade.asp
6016,tahirih faculty,brazil,manaus,AM,http://www.adcam.org.br
6018,tamandare faculty,brazil,goiania,GO,http://www.faculdadetamandare.com.br
6022,logos ological faculty humanities social sciences,brazil,sao paulo,SP,http://www.faetel.edu.br
6026,faculty tres de maio,brazil,tres de maio,RS,http://www.setrem.com.br
6028,triangulo mineiro faculty,brazil,ituiutaba,Minas Gerais,http://www.ftm.edu.br
6031,universityiao business school,brazil,sao paulo,SP,http://www.faculdadeuniao.edu.br/
6033,universityion americas faculty,brazil,foz do iguacu,PR,http://www.uniamerica.br
6034,faculty universityion goyazes,brazil,trindade,GO,http://www.fug.edu.br
6037,universityited faculty suzano,brazil,suzano,Sao Paulo,http://www.unisuz.edu.br
6038,universityited faculty vitoria,brazil,vitoria,ES,http://www.faculdadeunida.com.br
6039,universityigran capital faculty,brazil,campo grande,MS,http://www.unigrancapital.com.br
6040,universityilagos faculty,brazil,mangueirinha,PR,http://www.unilagos.com.br
6042,universityirg university centre,brazil,gurupi,TO,http://www.unirg.edu.br
6043,universityion schools paraiso universityissa faculty sarandi,brazil,sarandi,PR,http://www.uniesp.edu.br/sarandi
6047,vasco de gama faculty,brazil,salvador,BA,http://www.faculdadevascodagama.com.br
6050,vicentina faculty,brazil,curitiba,PR,http://www.faculdadevicentina.com.br
6052,vitoria association higher education faculty accountancy vitoria,brazil,vitoria,Espirito Santo,http://www.favi.br
6053,vitoria association higher education faculty technology vitoria,brazil,vitoria,Espirito Santo,
6054,vale do iguacu faculty dois vizinhos,brazil,dois vizinhos,PR,http://www.vizivali.edu.br
6056,zacarias de goes faculty,brazil,valenca,BA,http://www.fazag.edu.br
6057,zumbi dos palmares faculty,brazil,sao paulo,SP,http://www2.zumbidospalmares.edu.br
6059,bahia adventist university,brazil,cachoeira,Bahia,http://www.adventista.edu.br
6062,associated faculties universityeraba,brazil,uberaba,Minas Gerais,http://www.fazu.br
6066,faculty ceara,brazil,fortaleza,Ceara,http://www.faculdadescearenses.edu.br
6068,faculties educational foundation mococa,brazil,mococa,Sao Paulo,http://www.fafem.com.br
6069,faculties dracena,brazil,dracena,Sao Paulo,http://fundec.edu.br/unifadra
6073,faculty santos dumont,brazil,santos dumont,MG,http://www.fsd.edu.br
6074,integrated faculties taquara,brazil,taquara,RS,http://www.faccat.br
6077,faculty discovery,brazil,santa cruz cabralia,BA,http://www.facdesco.edu.br
6078,doctum faculty serra,brazil,serra,ES,http://www.doctum.edu.br
6081,faculties professor paulo martins school,brazil,brasilia,DF,http://www.espam.edu.br
6085,universityion schools paraiso fleming faculty,brazil,campinas,SP,http://www.faculdadefleming.edu.br
6089,cnec universityai faculty,brazil,unai,Minas Gerais,http://www.inesc.br
6090,integrated adventist faculties minas gerais,brazil,lavras,Minas Gerais,http://www.fadminas.org.br
6091,anglo american integrated faculties,brazil,rio de janeiro,Rio de Janeiro,http://www.angloamericano.edu.br
6092,antonio eufrasio de toledo university centre presidente prudente,brazil,presidente prudente,Sao Paulo,http://www.toledoprudente.edu.br
6093,aparicio carvalho integrated faculties,brazil,porto velho,Rondonia,http://www.fimca.com.br
6099,integrated faculties campo grande,brazil,rio de janeiro,Rio de Janeiro,http://www.feuc.br
6100,campos salles integrated faculties,brazil,lapa,SP,http://www.cs.edu.br
6102,integrated faculties heart jesus,brazil,santo andre,SP,http://www.fainc.com.br
6106,integrated faculties universityis,brazil,brasilia,DF,http://www.upis.br
6108,integrated faculties ariquemes,brazil,ariquemes,Rondonia,http://www.fiar.com.br
6110,integrated faculties botucatu,brazil,botucatu,SP,http://www.unifac.com.br
6111,integrated faculties cacoal,brazil,cacoal,RO,http://www.unescnet.br
6112,integrated faculties caratinga,brazil,caratinga,Minas Gerais,http://www.doctum.edu.br
6114,integrated faculties cataguases,brazil,cataguases,Minas Gerais,http://www.unis.edu.br
6115,integrated faculties human sciences health education guarulhos,brazil,guarulhos,Sao Paulo,http://www.faculdadesdeguarulhos.edu.br
6117,integrated faculties cruzeiro,brazil,cruzeiro,SP,http://www.faculdadefic.com.br
6118,integrated faculties diamantino,brazil,diamantino,Mato Grosso,http://www.fidedu.com.br
6122,integrated faculties jacarepagua,brazil,rio de janeiro,Rio de Janeiro,http://www.fij.br
6125,integrated faculties navirai,brazil,navirai,MS,http://www.finav.br
6126,universityion schools paraiso integrated faculties nova andradina,brazil,nova andradina,MS,http://www.uniesp.edu.br/finan
6127,integrated faculties ourinhos,brazil,ourinhos,Sao Paulo,http://www.fio.edu.br
6128,integrated faculties paranaiba,brazil,paranaiba,MS,http://www.fipar.edu.br
6129,integrated faculties patos,brazil,patos,PB,http://www.fiponline.com.br
6130,integrated faculties ponta pora,brazil,ponta pora,Mato Grosso do Sul,http://www.fipmagsul.com.br
6131,integrated faculties ribeirao pires,brazil,ribeirao pires,Sao Paulo,http://www.firp.edu.br
6136,integrated faculties sao paulo,brazil,sao paulo,Sao Paulo,http://www.fisp.br
6138,integrated faculties tres lagoas,brazil,tres lagoas,MS,http://www.aems.com.br
6139,integrated faculties varzea grande,brazil,varzea grande,Mato Grosso,http://www.ive.edu.br
6145,integrated faculties valley ivai,brazil,ivaipora,Parana,http://www.univale.com.br
6148,dom pedro ii integrated faculties,brazil,sao jose do rio preto,Sao Paulo,http://www.dompedro.com.br
6149,einstein integrated faculties limeira,brazil,limeira,Sao Paulo,http://www.einsteinlimeira.com.br
6150,espirita integrated faculties,brazil,curitiba,Parana,http://www.faculdadeespirita.com.br
6151,integrated faculties espirito santo,brazil,vitoria,Espirito Santo,http://portal.faesa.br
6154,helio alonso integrated faculties,brazil,rio de janeiro,Rio de Janeiro,http://www.facha.edu.br
6156,machado de assis integrated faculties,brazil,santa rosa,RS,http://www.fema.com.br
6157,mary immaculate integrated faculties,brazil,mogi guacu,Sao Paulo,http://www.mariaimaculada.br
6161,padre albino integrated faculties,brazil,catanduva,Sao Paulo,http://www.fipa.com.br
6165,integrated regional faculties avare,brazil,avare,Sao Paulo,http://www.fira.edu.br
6166,rio branco integrated faculties,brazil,sao paulo,Sao Paulo,http://www.riobrancofac.edu.br
6168,integrated faculties santa cruz de curitiba,brazil,curitiba,Parana,http://www.santacruz.br
6169,saint jude thaddeus integrated faculties,brazil,porto alegre,Rio Grande do Sul,http://www.saojudastadeu.com.br
6170,integrated faculties sao pedro,brazil,sao pedro,Espirito Santo,http://www.faesa.br
6172,simonsen integrated faculties,brazil,rio de janeiro,Rio de Janeiro,http://www.simonsen.br
6173,soares de oliveira integrated faculties,brazil,barretos,Sao Paulo,http://fiso.edu.br
6174,stella maris integrated faculties andradina,brazil,andradina,Sao Paulo,http://www.fea.br
6175,teresa avila integrated faculties lorena,brazil,lorena,Sao Paulo,http://www.fatea.br
6177,tibirica integrated faculties,brazil,sao paulo,Sao Paulo,
6179,icesp faculties,brazil,brasilia,DF,http://www.icesp.br
6180,universityubupunga integrated faculties,brazil,pereira barreto,SP,http://www.fiu.com.br
6184,kennedy faculties,brazil,belo horizonte,Minas Gerais,http://www.kennedy.br/home
6186,magsul faculties,brazil,ponta pora,Mato Grosso do Sul,http://magsul-ms.com.br/faculdade
6187,university center universityited metropolitan faculties,brazil,sao paulo,Sao Paulo,http://www.fmu.br
6188,milton campos faculties,brazil,nova lima,MG,http://www.mcampos.br
6189,montenegro faculty,brazil,ibicarai,Bahia,http://www.faculdadesmontenegro.edu.br
6192,faculties pedro leopoldo,brazil,pedro leopoldo,MG,http://www.unipel.edu.br
6193,pestalozzi faculties,brazil,niteroi,Rio de Janeiro,http://www.pestalozzi.org.br
6195,promove faculties,brazil,belo horizonte,Minas Gerais,http://www.faculdadepromove.br
6197,estacio faculty rio grande do sul,brazil,porto alegre,Rio Grande do Sul,http://portal.estacio.br/unidades/faculdade-estacio-do-rio-grande-do-sul.aspx
6200,saint camilo faculty rio de janeiro,brazil,rio de janeiro,Rio de Janeiro,http://www.saocamilo-rj.br
6201,saint jose faculty,brazil,rio de janeiro,Rio de Janeiro,http://www.saojose.br
6202,souza marques faculties,brazil,rio de janeiro,Rio de Janeiro,http://www.souzamarques.br/2006/index.php
6203,spei faculties,brazil,curitiba,Parana,http://www.spei.br
6207,universityited faculties north minas,brazil,montes claros,Minas Gerais,http://www.funorte.com.br
6208,universityited faculties valley araguaia,brazil,barra do garcas,MT,http://www.univar.edu.br
6212,faculties valley carangola,brazil,carangola,MG,http://www.carangola.br
6213,university medical sciences ciego de avila,cuba,ciego de avila,,
6214,university medical sciences cienfuegos,cuba,cienfuegos,,http://www.ucm.cfg.sld.cu
6215,university medical sciences granma,cuba,manzanillo,,
6216,university medical sciences guantanamo,cuba,guantanamo,Guantanamo,http://www.gtm.sld.cu
6218,medical university dr. juan guiteras gener matanzas,cuba,matanzas,,http://www.mtz.sld.cu
6219,university medical sciences pinar del rio,cuba,pinar del rio,Pinar del Rio,
6220,university medical sciences sancti spiritu,cuba,sancti spiritu,,
6221,zoilo marinello university medical sciences las tunas,cuba,tunas,,
6222,faculty law national bar lawyers,mexico,mexico,D.F.,http://www.bna.edu.mx
6223,faculty design graphic communication,mexico,chihuahua,Chihuahua,http://www.escograf.com
6224,faculty pontifical civil ology lima,peru,lima,Lima,http://www.ftpcl.edu.pe
6225,international faculty educational sciences,mexico,tijuana,Baja California,http://www.ficed.org
6226,latin american faculty social sciences,ecuador,quito,Pichincha,http://www.flacso.edu.ec
6227,latin american faculty social sciences,mexico,mexico,D.F.,http://www.flacso.edu.mx
6228,private faculty law monterrey,mexico,santa catarina,Nuevo Leon,http://www.fldm.edu.mx
6230,private faculty law economics management,france,paris,,http://www.facoparis.com/
6233,fahad bin sultan university,saudi arabia,tabuk,,http://www.fbsc.edu.sa
6234,fairfield university,united states,fairfield, Connecticut,http://www.fairfield.edu
6235,fairland university,uganda,jinja,,http://fairlanduniversity.com/default.aspx
6236,fairleigh dickinson university,united states,teaneck, New Jersey,http://ww.fdu.edu
6237,fairmont state university,united states,fairmont, West Virginia,http://www.fairmontstate.edu/
6238,fakir mohan university,india,balasore,Orissa,http://www.fmuniversity.nic.in
6239,integrated business faculty,macedonia,skopje,,http://www.fbe.edu.mk
6240,faculty business studies skopje,macedonia,skopje,,
6241,faculty public administration european studies,montenegro,podgorica,,http://www.fdes.me/
6243,faculty traffic communication management,montenegro,berane,,http://www.fskl.me
6244,faculty business management,montenegro,bar,,http://www.fpm.me
6245,graduate school government european studies,slovenia,kranj,,http://www.fds.si
6246,faculty information studies novo mesto,slovenia,novo mesto,,http://www.fis.unm.si
6247,faculty commercial business sciences,slovenia,celje,,http://www.fkpv.si
6248,faculty media studies,slovenia,ljubljana,,http://www.fame.si/
6249,alma mater euniversityopea ish,slovenia,ljubljana,,http://www.ish.si/
6250,school advanced social studies nova gorica,slovenia,nova gorica,,http://www.fuds.si
6251,faculty high technologies systems,slovenia,novo mesto,,http://fts.vs-nm.si/
6252,falmouth university,united kingdom,falmouth,,http://www.falmouth.ac.uk
6253,fanshawe college,canada,london, Ontario,http://fanshawec.ca/
6254,far east university,south korea,eumseong,Chungbuk-do,http://www.kdu.ac.kr
6255,far east university,taiwan,tainan,,http://www.feu.edu.tw/feu-english/all.htm
6256,far eastern polytechnic college,philippines,dasmarinas,Cavite,
6257,far eastern university feuniversityeast asia college,philippines,city manila,"First District, Metro Manila",http://www.feu-eastasia.edu.ph/
6258,far eastern university feuniversitydr. nicanor reyes medical foundation,philippines,quezon city,"Second District, Metro Manila",http://www.feu-nrmf.ph
6259,far eastern university feuniversityfern college,philippines,quezon city,"Second District, Metro Manila",http://www.feufern.edu.ph
6260,far eastern university,philippines,manila,Metro Manila,http://www.feu.edu.ph
6261,farabi college science technology,iran,tehran,,
6262,fergana state university,uzbekistan,fergana,,http://www.fdu.uz
6263,fergana polytechnic institute,uzbekistan,fergana,,http://www.ferpi.uz/
